model,seq,kf,iou,absdiff_med_mm,signed_med_mm,n_px,occ_ratio
MD-prior,AP12,0280,0.7875144477952997,2.811983108520508,-2.0000786781311035,53778,0.9936581318160266
MD-prior,AP12,0284,0.7906714885612474,2.852484703063965,-2.156466245651245,52758,0.9941875046101645
MD-prior,AP12,0295,0.804105085850902,3.243565559387207,-1.267850399017334,54935,0.9988712129193444
MD-prior,AP12,0302,0.8091017366977813,4.236236095428467,-1.551017165184021,54184,0.9989900071923731
MD-prior,AP12,0308,0.8185053380782918,6.558507919311523,-2.9066057205200195,55820,0.9894415548011337
MD-prior,AP12,0315,0.8340004744114333,8.453339576721191,-1.8883943557739258,55685,0.9851881569445559
MD-prior,AP12,0325,0.8471617109238353,11.637017250061035,-0.8315145969390869,52748,0.9824905711896513
MD-prior,AP12,0338,0.867150393466183,16.894935607910156,1.2978613376617432,48428,0.9738022010597696
MD-prior,AP12,0360,0.8592956739363604,19.436120986938477,2.6813149452209473,46887,0.9612128297475157
MD-prior,AP12,0365,0.8670340462680053,20.274700164794922,3.406614065170288,46576,0.9777863404296311
MD-prior,AP12,0368,0.8583804486594929,19.396587371826172,2.509638786315918,46018,0.9816219369894983
MD-prior,AP12,0373,0.8541506463070783,16.165197372436523,1.0502636432647705,45673,0.9880641551659829
MD-prior,AP12,0378,0.8571745357109859,15.054956436157227,0.9489208459854126,45234,0.9857148502331463
MD-prior,AP12,0380,0.8451546618720874,13.305961608886719,0.3904104232788086,44185,0.991367020434025
MD-prior,AP12,0384,0.8488661757702312,10.126396179199219,-0.3902912139892578,44928,0.9942506026000711
MD-prior,AP12,0386,0.834579187953751,8.998185157775879,-0.9209215641021729,43721,0.9963717228464419
MD-prior,AP12,0391,0.8299348328778642,6.852701187133789,-1.217275857925415,44870,0.9895626999847631
MD-prior,AP12,0396,0.8250764735034264,6.0977935791015625,-1.6910135746002197,46915,0.9938391456948696
MD-prior,AP12,0400,0.8150093060356288,5.01832389831543,-1.3801753520965576,47851,1.004478050212891
MD-prior,AP12,0405,0.8139073601378705,4.334420204162598,-1.1397004127502441,49373,1.0011838352675289
MD-prior,AP12,0411,0.8133458139645571,3.744274377822876,-1.1405348777770996,50901,0.9951995251894006
MD-prior,AP12,0417,0.8171755963531909,3.1800568103790283,-1.0926127433776855,51663,0.9868059467117278
MD-prior,AP12,0428,0.8202351485148515,2.6076138019561768,-1.1754333972930908,52281,0.9739292364990689
MD-prior,AP12,0440,0.8208448215455391,2.524048089981079,-0.8608400821685791,53061,0.9672328099799217
MD-prior,AP12,0457,0.8264318385582081,2.3300647735595703,-0.8514225482940674,53585,0.9390497701056707
MD-prior,AP12,0489,0.8250254166795034,2.3773014545440674,-0.8240640163421631,52667,0.9293414538822303
MD-prior,AP12,0643,0.801657475122887,2.2419989109039307,-1.312553882598877,52553,0.9379856207885998
MD-prior,AP12,0651,0.7937936769619072,2.515166997909546,-1.896187663078308,53874,0.9323871941157056
MD-prior,AP12,0656,0.7835229036719257,2.303525924682617,-1.36488676071167,54254,0.9349327127700292
MD-prior,AP12,0660,0.7742309924550204,2.6697068214416504,-1.810505986213684,55020,0.9221809689202947
MD-prior,AP12,0662,0.7598961890452124,2.5848448276519775,-1.5992224216461182,55187,0.9117725613556102
MD-prior,AP12,0666,0.7664264345934185,2.6202054023742676,-1.4202743768692017,55886,0.9075890628212282
MD-prior,AP12,0670,0.781189809439246,2.663910388946533,-1.9597411155700684,56652,0.914488753156751
MD-prior,AP12,0674,0.7901132965736702,2.669006586074829,-1.7712116241455078,57281,0.9196881665073178
MD-prior,AP12,0678,0.8102156229106308,2.6994943618774414,-2.0627527236938477,57900,0.920822371338201
MD-prior,AP12,0682,0.8305173044971981,2.432316541671753,-1.5341639518737793,58073,0.922640086366258
MD-prior,AP12,0688,0.8661086051353227,2.6689767837524414,-0.8818507194519043,57187,0.9217026218232167
MD-prior,AP12,0694,0.8748383113828786,2.9196739196777344,-0.9739398956298828,54665,0.9007659752026704
MD-prior,AP12,0697,0.8659321024419298,2.7806758880615234,-0.4843473434448242,51827,0.8842527854210835
MD-prior,AP12,0701,0.8571128671894915,2.8618574142456055,-0.42319297790527344,49140,0.8682908432644441
MD-prior,AP12,0706,0.8541533594914378,2.969503402709961,0.15357136726379395,46785,0.8580245972842404
MD-prior,AP12,0718,0.845414477857108,3.3015012741088867,-0.6910860538482666,45881,0.8513158538774045
MD-prior,AP12,0723,0.8460099008216662,2.9911696910858154,-1.6647577285766602,45987,0.8530079745905979
MD-prior,AP12,0728,0.8284562110984484,3.2158493995666504,-2.105832099914551,45328,0.8329232283464567
MD-prior,AP12,0731,0.8073182111836911,3.908172130584717,-2.2554397583007812,43966,0.8103395588790423
MD-prior,AP12,0734,0.7904980814503123,4.701807975769043,-2.5569348335266113,41968,0.7918931453482979
MD-prior,AP12,0737,0.7823537251765961,4.606723785400391,-1.524806022644043,40185,0.784800472840283
MD-prior,AP12,0739,0.7639956728354519,4.201650619506836,-1.766979694366455,38657,0.7724184782608695
MD-prior,AP12,0742,0.7497990156669738,5.2089691162109375,-1.8248558044433594,37619,0.7673690881723837
MD-prior,AP12,0746,0.7261019913351087,5.0576629638671875,-2.261221408843994,35879,0.7554419225094489
MD-prior,AP12,0752,0.6974769529354682,5.430698394775391,-1.3411641120910645,33785,0.7493228884536856
MD-prior,AP12,0758,0.6762657709323283,6.17903470993042,-0.563204288482666,32243,0.7463352181798784
MD-prior,AP12,0763,0.661460566342051,5.5775346755981445,-0.7607787847518921,31344,0.7427243720153329
MD-prior,AP12,0768,0.6480461685395542,6.090312957763672,-0.317305326461792,30424,0.7451798932690652
MD-prior,AP12,0775,0.6450689668879437,5.411803722381592,0.303804874420166,30777,0.7538618015383637
MD-prior,AP12,0784,0.6116994255793052,5.614027500152588,-1.037508249282837,30150,0.7280097199237489
MD-prior,AP12,0789,0.6135095503799204,4.713445663452148,-2.1500885486602783,31219,0.7348225803149122
MD-prior,AP12,0795,0.6333969141281562,4.848137378692627,-2.431154251098633,32788,0.7581769763990812
MD-prior,AP12,0799,0.6685103177082377,3.3094584941864014,-1.1566877365112305,35573,0.8013053224622587
MD-prior,AP12,0805,0.689548288863109,3.2327919006347656,-1.458287239074707,37520,0.8287390374541388
MD-prior,AP12,0810,0.7134541092628199,3.104403495788574,-0.7654577493667603,39894,0.8693635611323878
MD-prior,AP12,0815,0.7390924804022557,2.5326013565063477,-0.6679296493530273,41947,0.8965747034519526
MD-prior,AP12,0819,0.7656200941915228,2.461552619934082,-1.1915266513824463,43627,0.9277266754270697
MD-prior,AP12,0824,0.7768208745676815,2.4372339248657227,-1.0917484760284424,44909,0.9522734541076434
MD-prior,AP12,0828,0.7795772303595206,2.658843994140625,-1.5630125999450684,46555,0.9540710956776021
MD-prior,AP12,0832,0.7823476920580839,3.0261425971984863,-1.2972056865692139,47688,0.9620117518886964
MD-prior,AP12,0838,0.7814366476093136,2.873018264770508,-1.4184266328811646,48628,0.9704302974634353
MD-prior,AP12,0844,0.7794420199501247,3.3284425735473633,-2.246677875518799,49597,0.9803472619729059
