START B models=MD-gt,MD-prior seqs=['AP12', 'MPM12', 'SM1'] every=1 2026-09-26 02:21:08
  B MD-gt SM1 201/240 4.2s/kf | E-I=3.85 E-L=6.33 E-V2=10.63 E-V5b=14.66 E-V5b_r20=61.11 E-V5d=14.63 E-V5d_r20=60.94 E-V5x2=55.77 E-V5x2_r20=89.86 E-VI=69.99 E-VI_r20=109.64 | rot0 45.00
  B MD-gt SM1 226/240 4.2s/kf | E-I=5.58 E-L=35.45 E-V2=48.77 E-V5b=52.35 E-V5b_r20=52.43 E-V5d=52.25 E-V5d_r20=52.21 E-V5x2=58.28 E-V5x2_r20=52.31 E-VI=40.40 E-VI_r20=52.31 | rot0 60.00
DONE B MD-gt SM1 jobs 240 1000s | E-I=3.63/41% E-L=4.29/42% E-V2=43.22/1% E-V5b=44.04/0% E-V5b_r20=73.99/1% E-V5d=44.04/0% E-V5d_r20=74.04/1% E-V5x2=22.58/0% E-V5x2_r20=52.97/0% E-VI=24.45/7% E-VI_r20=57.26/7% | rot0 25.00
  B MD-prior AP12 1/240 4.7s/kf | E-I=3.28 E-L=5.34 E-V2=52.51 E-V5b=30.65 E-V5b_r20=94.78 E-V5d=30.72 E-V5d_r20=94.98 E-V5x2=137.25 E-V5x2_r20=83.23 E-VI=137.25 E-VI_r20=83.23 | rot0 5.00
  B MD-prior AP12 26/240 5.2s/kf | E-I=7.95 E-L=7.05 E-V2=75.24 E-V5b=88.88 E-V5b_r20=98.14 E-V5d=89.48 E-V5d_r20=98.18 E-V5x2=66.35 E-V5x2_r20=41.49 E-VI=66.35 E-VI_r20=51.12 | rot0 5.00
  B MD-prior AP12 51/240 4.8s/kf | E-I=6.43 E-L=7.02 E-V2=84.27 E-V5b=82.02 E-V5b_r20=110.82 E-V5d=83.26 E-V5d_r20=111.44 E-V5x2=52.04 E-V5x2_r20=66.53 E-VI=56.64 E-VI_r20=75.58 | rot0 5.00
  B MD-prior AP12 76/240 4.5s/kf | E-I=6.42 E-L=10.00 E-V2=89.06 E-V5b=90.30 E-V5b_r20=55.15 E-V5d=90.29 E-V5d_r20=55.32 E-V5x2=49.01 E-V5x2_r20=53.50 E-VI=53.82 E-VI_r20=53.50 | rot0 10.00
  B MD-prior AP12 101/240 4.5s/kf | E-I=7.60 E-L=17.34 E-V2=107.35 E-V5b=56.53 E-V5b_r20=70.77 E-V5d=56.77 E-V5d_r20=70.82 E-V5x2=71.97 E-V5x2_r20=65.55 E-VI=71.97 E-VI_r20=73.68 | rot0 20.00
  B MD-prior AP12 126/240 4.6s/kf | E-I=6.36 E-L=20.00 E-V2=121.58 E-V5b=77.04 E-V5b_r20=76.15 E-V5d=76.94 E-V5d_r20=76.23 E-V5x2=56.84 E-V5x2_r20=67.16 E-VI=65.48 E-VI_r20=76.10 | rot0 20.00
  B MD-prior AP12 151/240 4.3s/kf | E-I=10.25 E-L=30.00 E-V2=81.61 E-V5b=106.61 E-V5b_r20=59.91 E-V5d=106.85 E-V5d_r20=60.06 E-V5x2=74.21 E-V5x2_r20=65.61 E-VI=69.47 E-VI_r20=65.61 | rot0 30.00
  B MD-prior AP12 176/240 4.7s/kf | E-I=14.98 E-L=45.00 E-V2=120.52 E-V5b=92.93 E-V5b_r20=68.80 E-V5d=92.99 E-V5d_r20=68.92 E-V5x2=42.20 E-V5x2_r20=90.44 E-VI=79.98 E-VI_r20=90.44 | rot0 45.00
  B MD-prior AP12 201/240 4.5s/kf | E-I=23.13 E-L=45.00 E-V2=97.38 E-V5b=64.03 E-V5b_r20=68.52 E-V5d=64.35 E-V5d_r20=68.73 E-V5x2=48.84 E-V5x2_r20=78.33 E-VI=48.84 E-VI_r20=79.49 | rot0 45.00
  B MD-prior AP12 226/240 4.4s/kf | E-I=53.41 E-L=60.00 E-V2=74.56 E-V5b=60.92 E-V5b_r20=62.29 E-V5d=61.18 E-V5d_r20=62.64 E-V5x2=72.42 E-V5x2_r20=85.28 E-VI=72.42 E-VI_r20=83.90 | rot0 60.00
DONE B MD-prior AP12 jobs 240 1106s | E-I=9.01/2% E-L=25.89/2% E-V2=94.06/0% E-V5b=81.51/0% E-V5b_r20=73.51/0% E-V5d=82.05/0% E-V5d_r20=73.69/0% E-V5x2=61.67/0% E-V5x2_r20=73.43/0% E-VI=65.92/0% E-VI_r20=75.72/0% | rot0 25.00
  B MD-prior MPM12 1/240 4.2s/kf | E-I=12.72 E-L=7.20 E-V2=173.42 E-V5b=148.66 E-V5b_r20=155.17 E-V5d=148.68 E-V5d_r20=155.37 E-V5x2=7.82 E-V5x2_r20=16.10 E-VI=7.82 E-VI_r20=16.10 | rot0 5.00
  B MD-prior MPM12 26/240 4.3s/kf | E-I=10.72 E-L=8.33 E-V2=119.08 E-V5b=105.28 E-V5b_r20=82.24 E-V5d=105.39 E-V5d_r20=82.47 E-V5x2=42.34 E-V5x2_r20=63.15 E-VI=46.51 E-VI_r20=74.50 | rot0 5.00
